champion_name,tier,win_ratio,ban_ratio,pick_ratio,annie,olaf,galio,twistedfate,xinzhao,urgot,leblanc,vladimir,fiddlesticks,kayle,masteryi,alistar,ryze,sion,sivir,soraka,teemo,tristana,warwick,nunu,missfortune,ashe,tryndamere,jax,morgana,zilean,singed,evelynn,twitch,karthus,chogath,amumu,rammus,anivia,shaco,drmundo,sona,kassadin,irelia,janna,gangplank,corki,karma,taric,veigar,trundle,swain,caitlyn,blitzcrank,malphite,katarina,nocturne,maokai,renekton,jarvaniv,elise,orianna,monkeyking,brand,leesin,vayne,rumble,cassiopeia,skarner,heimerdinger,nasus,nidalee,udyr,poppy,gragas,pantheon,ezreal,mordekaiser,yorick,akali,kennen,garen,leona,malzahar,talon,riven,kogmaw,shen,lux,xerath,shyvana,ahri,graves,fizz,volibear,rengar,varus,nautilus,viktor,sejuani,fiora,ziggs,lulu,draven,hecarim,khazix,darius,jayce,lissandra,diana,quinn,syndra,aurelionsol,kayn,zoe,zyra,kaisa,seraphine,gnar,zac,yasuo,velkoz,taliyah,akshan,camille,braum,jhin,kindred,jinx,tahmkench,viego,senna,lucian,zed,kled,ekko,qiyana,vi,aatrox,nami,azir,yuumi,samira,thresh,illaoi,ksante,ivern,kalista,bard,rakan,xayah,ornn,sylas,rell,neeko,aphelios,pyke,sett,vex,yone,gwen,lillia,hwei,briar,naafiri,milio,nilah,belveth,renata,zeri
sivir,4 Tier,0.49310000000000004,0.0049,0.0254,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.81,-1.0,-1.0,46.88,48.49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.34,-1.0,-1.0,-1.0,-1.0,55.1,-1.0,48.99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.62,-1.0,-1.0,-1.0,46.48,-1.0,-1.0,-1.0,-1.0,-1.0,48.02,-1.0,50.13,-1.0,-1.0,-1.0,49.34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.83,-1.0,-1.0,-1.0,-1.0,57.48,-1.0,-1.0,54.03,-1.0,-1.0,-1.0,-1.0,50.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.23,-1.0,-1.0,52.63
tristana,4 Tier,0.4907,0.0146,0.0461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.8,-1.0,-1.0,-1.0,-1.0,-1.0,45.57,49.24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.95,-1.0,26.83,47.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.13,-1.0,-1.0,-1.0,-1.0,43.88,-1.0,50.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.65,51.4,-1.0,-1.0,46.49,-1.0,-1.0,-1.0,-1.0,-1.0,48.97,-1.0,48.87,-1.0,-1.0,39.06,48.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.47,-1.0,-1.0,-1.0,-1.0,45.28,-1.0,-1.0,52.31,-1.0,-1.0,-1.0,-1.0,52.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.84,-1.0,-1.0,-1.0
missfortune,OP Tier,0.5425,0.1795,0.24710000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.8,-1.0,-1.0,54.58,-1.0,-1.0,-1.0,56.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.08,-1.0,48.25,53.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.5,-1.0,-1.0,-1.0,-1.0,51.15,-1.0,54.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.14,50.67,-1.0,-1.0,52.16,-1.0,-1.0,-1.0,-1.0,-1.0,51.85,-1.0,53.42,-1.0,-1.0,49.32,54.84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.96,-1.0,-1.0,-1.0,-1.0,55.57,-1.0,-1.0,56.98,-1.0,-1.0,-1.0,-1.0,55.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.16,-1.0,-1.0,56.7
ashe,3 Tier,0.4935,0.0339,0.08869999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.91,-1.0,-1.0,51.38,-1.0,-1.0,43.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.58,-1.0,52.33,49.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.74,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,47.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.06,48.16,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.39,-1.0,48.5,-1.0,-1.0,43.22,50.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.28,-1.0,-1.0,-1.0,-1.0,49.04,-1.0,-1.0,50.34,-1.0,-1.0,-1.0,-1.0,51.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.76,-1.0,-1.0,54.5
twitch,3 Tier,0.5057,0.0315,0.0451,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.6,-1.0,-1.0,47.87,-1.0,-1.0,45.97,52.31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.92,50.04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.47,-1.0,-1.0,-1.0,-1.0,43.9,-1.0,52.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.89,45.26,-1.0,-1.0,50.56,-1.0,-1.0,-1.0,-1.0,-1.0,49.79,-1.0,51.98,-1.0,-1.0,42.17,50.24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.43,-1.0,-1.0,-1.0,-1.0,53.33,-1.0,-1.0,53.2,-1.0,-1.0,-1.0,-1.0,51.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.98,-1.0,-1.0,53.7
veigar,5 Tier,0.5089,0.0027,0.006999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.33,-1.0,-1.0,55.34,-1.0,-1.0,43.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.2,-1.0,50.38,-1.0,-1.0,-1.0,54.19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
swain,4 Tier,0.5444,0.0034999999999999996,0.006500000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.09,-1.0,-1.0,52.36,50.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.08,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.85,-1.0,-1.0,-1.0,60.61,-1.0,-1.0,-1.0,-1.0,-1.0,53.79,-1.0,52.99,-1.0,-1.0,-1.0,52.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.98,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.63,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
caitlyn,OP Tier,0.5041,0.1509,0.21530000000000002,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.53,-1.0,-1.0,52.35,-1.0,-1.0,46.95,50.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.03,-1.0,45.15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.68,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.64,-1.0,-1.0,-1.0,-1.0,50.36,-1.0,53.04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.76,45.02,-1.0,-1.0,47.61,-1.0,-1.0,-1.0,-1.0,-1.0,48.02,-1.0,49.75,-1.0,-1.0,46.76,51.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.93,-1.0,-1.0,-1.0,-1.0,54.5,-1.0,-1.0,53.86,-1.0,-1.0,-1.0,-1.0,51.12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.41,-1.0,-1.0,55.88
vayne,2 Tier,0.5115999999999999,0.0707,0.09449999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.65,-1.0,-1.0,53.5,-1.0,-1.0,45.94,51.91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.17,-1.0,55.95,49.97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.91,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.64,-1.0,-1.0,-1.0,-1.0,56.32,-1.0,50.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.49,45.57,-1.0,-1.0,53.5,-1.0,-1.0,-1.0,-1.0,-1.0,49.61,-1.0,50.41,-1.0,-1.0,45.08,50.76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.97,-1.0,-1.0,-1.0,-1.0,52.47,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.51,-1.0,-1.0,-1.0
ezreal,4 Tier,0.4714,0.054900000000000004,0.1374,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.98,-1.0,-1.0,48.97,-1.0,-1.0,43.97,46.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.35,-1.0,48.48,47.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.97,-1.0,-1.0,-1.0,-1.0,44.82,-1.0,48.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.7,48.24,-1.0,-1.0,42.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.72,-1.0,47.73,-1.0,-1.0,43.89,48.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.16,-1.0,-1.0,-1.0,-1.0,47.48,-1.0,-1.0,49.3,-1.0,-1.0,-1.0,-1.0,48.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.71,-1.0,-1.0,52.55
kogmaw,5 Tier,0.4984,0.0027,0.0115,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.09,-1.0,-1.0,47.09,51.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.91,-1.0,-1.0,-1.0,66.67,-1.0,-1.0,-1.0,-1.0,-1.0,44.76,-1.0,46.9,-1.0,-1.0,-1.0,49.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.82,-1.0,-1.0,-1.0,-1.0,63.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
varus,4 Tier,0.4838,0.0168,0.0767,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.75,-1.0,-1.0,48.65,-1.0,-1.0,44.65,50.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.0,-1.0,49.32,48.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.69,-1.0,50.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.82,44.91,-1.0,-1.0,48.55,-1.0,-1.0,-1.0,-1.0,-1.0,46.09,-1.0,48.06,-1.0,-1.0,45.01,48.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.82,-1.0,-1.0,-1.0,-1.0,52.6,-1.0,-1.0,48.74,-1.0,-1.0,-1.0,-1.0,49.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,47.28,-1.0,-1.0,55.05
